country,name,full_name,tag,isin,id,currency,symbol
brazil,CYRELA REALT ON,Cyrela Brazil Realty SA,cyrela-realt-on-nm,BRCYREACNOR7,18657,BRL,CYRE3
brazil,DASA ON,Diagnosticos da America SA,dasa-on,BRDASAACNOR1,18659,BRL,DASA3
brazil,DIRECIONAL ON,Direcional Engenharia SA,direcional-on-nm,BRDIRRACNOR0,18661,BRL,DIRR3
brazil,DURATEX ON,Duratex SA,duratex-on-nm,BRDTEXACNOR3,18662,BRL,DTEX3
brazil,ECORODOVIAS ON,EcoRodovias SA,ecorodovias-on-nm,BRECORACNOR8,18663,BRL,ECOR3
brazil,CEEE-GT ON,CEEE-GT ON N1,ceee-gt-on-n1,BREEELACNOR8,18664,BRL,EEEL3
brazil,ELEKEIROZ PN,Elekeiroz SA,elekeiroz-pn,BRELEKACNPR2,18665,BRL,ELEK4
brazil,ELETROBRAS ON,Centrais Eletricas Brasileiras SA,eletrobras-on,BRELETACNOR6,18666,BRL,ELET3
brazil,ELETROBRAS PNB,Centrais Eletricas Brasileiras SA,eletrobras-pnb,BRELETACNPB7,18667,BRL,ELET6
brazil,EMBRAER ON,Embraer SA,embraer-on-nm,BREMBRACNOR4,18669,BRL,EMBR3
brazil,ENERGIAS BR ON,EDP - Energias do Brasil SA,energias-br-on,BRENBRACNOR2,18670,BRL,ENBR3
brazil,ENERGISA PN,Energisa SA,energisa-pn,BRENGIACNPR7,18671,BRL,ENGI4
brazil,EQUATORIAL ON,Equatorial Energia SA,equatorial-on-nm,BREQTLACNOR0,18672,BRL,EQTL3
brazil,YDUQS Part ON,YDUQS Part ON,estacio-part-on-nm,BRYDUQACNOR3,18673,BRL,YDUQ3
brazil,ETERNIT ON,Eternit SA,eternit-on-ej-nm,BRETERACNOR3,18674,BRL,ETER3
brazil,EUCATEX PN,Eucatex SA Industria e Comercio,eucatex-pn-ej-n1,BREUCAACNPR8,18675,BRL,EUCA4
brazil,EVEN ON,Even Construtora e Incorporadora SA,even-on-nm,BREVENACNOR8,18676,BRL,EVEN3
brazil,EZTEC ON,Ez Tec SA,eztec-on-nm,BREZTCACNOR0,18677,BRL,EZTC3
brazil,FERBASA PN,Cia de Ferro Ligas da Bahia Ferbasa,ferbasa-pn,BRFESAACNPR5,18678,BRL,FESA4
brazil,FER HERINGER ON,Fertilizantes Heringer SA,fer-heringer-on-nm,BRFHERACNOR5,18679,BRL,FHER3
brazil,Taurus Armas PN,Taurus Armas PN,forja-taurus-pn-n2,BRTASAACNPR4,18681,BRL,TASA4
brazil,FLEURY ON,Fleury SA,fleury-on-nm,BRFLRYACNOR5,18682,BRL,FLRY3
brazil,METALFRIO ON,Metalfrio Solutions SA,metalfrio-on-nm,BRFRIOACNOR2,18684,BRL,FRIO3
brazil,AES TIETE E ON N2,Aes Tiete Energia SA,aes-tiete-on,BRTIETACNOR0,18685,BRL,TIET3
brazil,AES TIETE E PN N2,Aes Tiete Energia SA,aes-tiete-pn,BRTIETACNPR7,18686,BRL,TIET4
brazil,GAFISA ON,Gafisa SA,gafisa-on-nm,BRGFSAACNOR3,18687,BRL,GFSA3
brazil,GERDAU ON,Gerdau SA,gerdau-on-n1,BRGGBRACNOR1,18688,BRL,GGBR3
brazil,GERDAU PN N1,Gerdau SA Pref,gerdau-pn-n1,BRGGBRACNPR8,18689,BRL,GGBR4
brazil,GERDAU MET ON,Metalurgica Gerdau SA,gerdau-met-on,BRGOAUACNOR1,18690,BRL,GOAU3
brazil,GERDAU MET PN,Metalurgica Gerdau SA,gerdau-met-pn,BRGOAUACNPR8,18691,BRL,GOAU4
brazil,GOL PN N2,Gol Linhas Aereas Inteligentes SA Pref,gol-pn-es-n2,BRGOLLACNPR4,18692,BRL,GOLL4
brazil,GRENDENE ON,Grendene SA,grendene-on-nm,BRGRNDACNOR3,18693,BRL,GRND3
brazil,GENERALSHOPP ON,General Shopping Brasil SA,generalshopp-on,BRGSHPACNOR7,18694,BRL,GSHP3
brazil,HELBOR ON,Helbor Empreendimentos SA,helbor-on-nm,BRHBORACNOR3,18695,BRL,HBOR3
brazil,CIA HERING ON,Cia Hering,cia-hering-on-nm,BRHGTXACNOR9,18696,BRL,HGTX3
brazil,PETRORIO ON NM,Petro Rio SA,hrt-petroleo-on-nm,BRPRIOACNOR1,18697,BRL,PRIO3
brazil,HYPERMARCAS ON,Hypermarcas SA,hypermarcas-on-nm,BRHYPEACNOR0,18698,BRL,HYPE3
brazil,IDEIASNET ON,IdeiasNet SA,ideiasnet-on-nm,BRIDNTACNOR5,18699,BRL,IDNT3
brazil,INDUSVAL PN,Banco Indusval SA,indusval-pn-ej-n1,BRIDVLACNPR2,18700,BRL,IDVL4
brazil,IGUATEMI ON,IGUATEMI ON NM,iguatemi-on-nm,BRIGTAACNOR5,18701,BRL,IGTA3
brazil,International Meal Company,International Meal Company,imc-holdings-on,BRMEALACNOR9,18702,BRL,MEAL3
brazil,INEPAR ON,Inepar SA Industria e Construcoes,inepar-on-n1,BRINEPACNOR1,18703,BRL,INEP3
brazil,INEPAR PN,Inepar SA Industria e Construcoes,inepar-pn-n1,BRINEPACNPR8,18704,BRL,INEP4
brazil,ITAUSA ON,Itausa - Investimentos Itau SA,itausa-on-ej-n1,BRITSAACNOR0,18705,BRL,ITSA3
brazil,ITAUSA PN,Itausa - Investimentos Itau SA,itausa-pn-ej-n1,BRITSAACNPR7,18706,BRL,ITSA4
brazil,ITAUUNIBANCO ON,Itau Unibanco Holding SA ON,itauunibanco-on-edj-n1,BRITUBACNOR4,18707,BRL,ITUB3
brazil,ITAUUNIBANCOPN EB N1,Itau Unibanco Banco Holding SA,itauunibanco-pn-edj-n1,BRITUBACNPR1,18708,BRL,ITUB4
brazil,JBS ON,JBS SA,jbs-on-nm,BRJBSSACNOR8,18709,BRL,JBSS3
brazil,JOAO FORTES ON,Joao Fortes Engenharia SA,joao-fortes-on,BRJFENACNOR0,18710,BRL,JFEN3
brazil,JHSF PART ON,JHSF Participacoes SA,jhsf-part-on-nm,BRJHSFACNOR2,18711,BRL,JHSF3
brazil,JSL ON,JSL SA,jsl-on-nm,BRJSLGACNOR2,18712,BRL,JSLG3
brazil,KEPLER WEBER ON,Kepler Weber SA,kepler-weber-on,BRKEPLACNOR1,18713,BRL,KEPL3
brazil,KLABIN S/A PN,Klabin SA,klabin-s-a-pn-n1,BRKLBNACNPR9,18714,BRL,KLBN4
brazil,LOJAS AMERIC ON,Lojas Americanas SA,lojas-americ-on,BRLAMEACNOR9,18716,BRL,LAME3
brazil,LOJAS AMERIC PN,Lojas Americanas SA,lojas-americ-pn-int,BRLAMEACNPR6,18717,BRL,LAME4
brazil,METAL LEVE ON,Mahle-Metal Leve SA,metal-leve-on-ej-nm,BRLEVEACNOR2,18718,BRL,LEVE3
brazil,LIGHT S/A ON,Light SA,light-s-a-on-nm,BRLIGTACNOR2,18719,BRL,LIGT3
brazil,LE LIS BLANC ON,LE LIS BLANC ON NM,le-lis-blanc-on-nm,BRLLISACNOR4,18720,BRL,LLIS3
brazil,LOG-IN ON,Log-in Logistica Intermodal SA,log-in-on-nm,BRLOGNACNOR3,18722,BRL,LOGN3
brazil,LOPES BRASIL ON,LPS Brasil Consultoria de Imoveis,lopes-brasil-on-nm,BRLPSBACNOR0,18723,BRL,LPSB3
brazil,LOJAS RENNER ON,Lojas Renner SA,lojas-renner-on-nm,BRLRENACNOR1,18724,BRL,LREN3
brazil,LUPATECH ON,Lupatech SA,lupatech-on-nm,BRLUPAACNOR8,18725,BRL,LUPA3
brazil,M.DIASBRANCO ON,M Dias Branco SA,m.diasbranco-on-ej-nm,BRMDIAACNOR7,18727,BRL,MDIA3
brazil,MANGELS INDL PN,Mangels Industrial SA,mangels-indl-pn-n1,BRMGELACNPR3,18728,BRL,MGEL4
brazil,MAGAZ LUIZA ON,Magazine Luiza SA,magaz-luiza-on-nm,BRMGLUACNOR2,18729,BRL,MGLU3
brazil,MILLS ON,MILLS ON EJ NM,mills-on-ej-nm,BRMILSACNOR2,18730,BRL,MILS3
brazil,MMX MINER ON,MMX Mineracao e Metalicos SA,mmx-miner-on-nm,BRMMXMACNOR2,18732,BRL,MMXM3
brazil,ENEVA ON NM,Eneva SA,eneva-sa,BRENEVACNOR8,18735,BRL,ENEV3
brazil,MARFRIG ON,Marfrig Alimentos SA,marfrig-on-nm,BRMRFGACNOR0,18736,BRL,MRFG3
brazil,MRV ON,MRV Engenharia e Participacoes SA,mrv-on-nm,BRMRVEACNOR2,18738,BRL,MRVE3
brazil,METAL IGUACU PN,Metalgrafica Iguacu SA,metal-iguacu-pn,BRMTIGACNPR7,18739,BRL,MTIG4
brazil,MULTIPLAN ON,Multiplan SA,multiplan-on-n2,BRMULTACNOR5,18740,BRL,MULT3
brazil,IOCHP-MAXION ON,Iochpe-Maxion SA,iochp-maxion-on-nm,BRMYPKACNOR7,18741,BRL,MYPK3
brazil,NATURA ON,Natura Cosmeticos SA,natura-on-nm,BRNATUACNOR6,18742,BRL,NATU3
brazil,ODONTOPREV ON,Odontoprev SA,odontoprev-on-ej-nm,BRODPVACNOR4,18743,BRL,ODPV3
brazil,OSX BRASIL ON,OSX Brasil SA,osx-brasil-on-nm,BROSXBACNOR8,18746,BRL,OSXB3
brazil,P.ACUCAR-CBD PN,Companhia Brasileira deDistribuicao,p.acucar-cbd-pn,BRPCARACNPR0,18747,BRL,PCAR4
brazil,PDG REALT ON,PDG Realty SA,pdg-realt-on-nm,BRPDGRACNOR8,18748,BRL,PDGR3
brazil,PETROBRAS ON,Petroleo Brasileiro SA,petrobras-on,BRPETRACNOR9,18749,BRL,PETR3
brazil,PETROBRAS PN,Petroleo Brasileiro SA PN,petrobras-pn,BRPETRACNPR6,18750,BRL,PETR4
brazil,PROFARMA ON,PROFARMA ON NM,profarma-on-nm,BRPFRMACNOR1,18751,BRL,PFRM3
brazil,PINE PN,Banco Pine SA,pine-pn-edj-n1,BRPINEACNPR8,18752,BRL,PINE4
brazil,PLASCAR PART ON,Plascar Participacoes Industriais,plascar-part-on,BRPLASACNOR2,18753,BRL,PLAS3
brazil,PARANAPANEMA ON,Paranapanema SA,paranapanema-on-n1,BRPMAMACNOR3,18754,BRL,PMAM3
brazil,MARCOPOLO ON,Marcopolo SA,marcopolo-on-n2,BRPOMOACNOR0,18755,BRL,POMO3
brazil,MARCOPOLO PN,Marcopolo SA,marcopolo-pn-n2,BRPOMOACNPR7,18756,BRL,POMO4
brazil,POSITIVO INF ON,Positivo Informatica SA,positivo-inf-on-nm,BRPOSIACNOR9,18757,BRL,POSI3
brazil,PORTO SEGURO ON,Porto Seguro SA,porto-seguro-on-ej-nm,BRPSSAACNOR7,18760,BRL,PSSA3
brazil,PORTOBELLO ON,Portobello SA,portobello-on-nm,BRPTBLACNOR8,18761,BRL,PTBL3
brazil,PETTENATI PN,Pettenati SA Industria Textil,pettenati-pn,BRPTNTACNPR3,18762,BRL,PTNT4
brazil,Enauta ON,Enauta Participacoes SA,qgep-part-on-nm,BRENATACNOR0,18763,BRL,ENAT3
brazil,QUALICORP ON,Qualicorp SA,qualicorp-on-nm,BRQUALACNOR6,18764,BRL,QUAL3
brazil,RANDON PART ON,Randon Participacoes SA,randon-part-on-n1,BRRAPTACNOR7,18765,BRL,RAPT3
brazil,RANDON PART PN,Randon Participacoes SA,randon-part-pn-n1,BRRAPTACNPR4,18766,BRL,RAPT4
brazil,RODOBENSIMOB ON,Rodobens Negocios Imobiliarios SA,rodobensimob-on-nm,BRRDNIACNOR9,18768,BRL,RDNI3
brazil,LOCALIZA ON,Localiza Rent a Car SA,localiza-on-ej-nm,BRRENTACNOR4,18770,BRL,RENT3
brazil,Pomifrutas,Pomifrutas SA,renar-on-nm,BRFRTAACNOR8,18771,BRL,FRTA3
brazil,RENOVA UNT,Renova Energia SA Unit,renova-unt-n2,BRRNEWCDAM15,18772,BRL,RNEW11
brazil,INDS ROMI ON,Industrias Romi SA,inds-romi-on-nm,BRROMIACNOR8,18773,BRL,ROMI3
brazil,ROSSI RESID ON,Rossi Residencial SA,rossi-resid-on-nm,BRRSIDACNOR8,18774,BRL,RSID3
brazil,SANTANDER BR UNT,Banco Santander Brasil SA Unit,santander-br-unt-ed-n2,BRSANBCDAM13,18775,BRL,SANB11
brazil,SABESP ON,Cia de Saneamento Basico do Estado,sabesp-on,BRSBSPACNOR5,18776,BRL,SBSP3
brazil,SAO CARLOS ON,SAO CARLOS ON NM,sao-carlos-on-nm,BRSCARACNOR7,18777,BRL,SCAR3
brazil,SPRINGS ON,Springs Global Participacoes SA,springs-on-nm,BRSGPSACNOR4,18779,BRL,SGPS3
brazil,TIME FOR FUN ON,T4F Entretenimento SA,time-for-fun-on,BRSHOWACNOR7,18780,BRL,SHOW3
brazil,SLC AGRICOLA ON,SLC Agricola SA,slc-agricola-on-nm,BRSLCEACNOR2,18781,BRL,SLCE3
brazil,SARAIVA LIVR PN,Saraiva SA Livreiros Editores,saraiva-livr-pn-n2,BRSLEDACNPR7,18782,BRL,SLED4
brazil,SAO MARTINHO ON,Sao Martinho SA,sao-martinho-on-nm,BRSMTOACNOR3,18783,BRL,SMTO3
brazil,SUL AMERICA UNT,Sul America SA,sul-america-unt-n2,BRSULACDAM12,18786,BRL,SULA11
brazil,ENGIE BRASILON NM,Engie Brasil Energia SA,tractebel-on-nm,BREGIEACNOR9,18790,BRL,EGIE3
brazil,TECNISA ON,Tecnisa SA,tecnisa-on-nm,BRTCSAACNOR3,18791,BRL,TCSA3
brazil,TECHNOS ON,Technos SA,technos-on-nm,BRTECNACNOR6,18792,BRL,TECN3
brazil,TEKA PN,Teka Tecelagem Kuehnrich SA,teka-pn,BRTEKAACNPR3,18793,BRL,TEKA4
brazil,TEGMA ON,Tegma Gestao Logistica,tegma-on-nm,BRTGMAACNOR7,18796,BRL,TGMA3
brazil,TIM PART S/A ON,Tim Participacoes SA,tim-part-s-a-on-nm,BRTIMPACNOR1,18797,BRL,TIMP3
brazil,TOTVS ON,Totvs SA,totvs-on-ej-nm,BRTOTSACNOR8,18801,BRL,TOTS3
